"country","category","year","emissions","pop","gdp","lgdp","lpop","lemissions","const","lgdp_sq","emissions_pc","lemissions_pc"
"SE22","Waste",2011,1356.7545383473,1396556,52482.06,10.8682266758964,14.149519763814,7.21285075795159,1,118.118351078665,0.000971500275210804,-6.93666900586241
"SE22","Waste",2012,1326.9805574189,1405912,54549.43,10.9068625420774,14.1561967604893,7.19066138269428,1,118.959650511771,0.000943857479997966,-6.96553537779501
"SE22","Waste",2013,1286.9084498952,1415403,56306.4,10.9385634843989,14.1629248541638,7.15999807056338,1,119.652171102224,0.000909216986183582,-7.00292678360037
"SE22","Waste",2014,1239.4153598777,1426826,56180.77,10.9363298065095,14.1709629548969,7.12239506344597,1,119.603309636748,0.000868652071014756,-7.04856789145089
"SE22","Waste",2015,1240.692656585,1443065,57910.18,10.9666484684865,14.1822798817866,7.12342509666368,1,120.267378631356,0.000859762142789826,-7.05885478512288
"SE22","Waste",2016,1242.1231349705,1459880,59057.29,10.986263268705,14.1938647985258,7.12457740006746,1,120.697980609297,0.000850839202516988,-7.06928739845831
"SE22","Waste",2017,1277.235520158,1483018,61663.03,11.0294398406804,14.2095897586054,7.15245327141382,1,121.648543199188,0.000861240740272876,-7.05713648719159
"SE22","Waste",2018,1266.5494439024,1504060,59934.92,11.001014585861,14.2236786763132,7.1440515084763,1,121.022321918326,0.000842087046994402,-7.07962716783691
"SE22","Waste",2019,1272.952035158,1521848,60916.3,11.017256069774,14.2354359438226,7.14909391925996,1,121.379931306971,0.000836451495259711,-7.08634202456265
"SE22","Waste",2020,1291.1233445393,1537433,62462.41,11.0423202147869,14.2456247004775,7.16326792814129,1,121.932835725891,0.000839791616635847,-7.08235677233623
"SE22","Waste",2021,1267.980577871,1548392,68460.45,11.134011485244,14.2527275310487,7.14518081774343,1,123.966211753545,0.000818901530020176,-7.10754671330524
"SE23","Agriculture",2000,1477.134956265,1762246,54257.54,10.9014972479201,14.382099689808,7.29785965023603,1,118.84264224641,0.000838211552907483,-7.08424003957201
"SE23","Agriculture",2001,1466.3776471326,1769645,52219.05,10.8632026498241,14.3862895194624,7.29055045304638,1,118.009171811146,0.000828628141312297,-7.09573906641603
